blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redAssists,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,blueWins
20,3,1,2,1,3,1,0,0,15426,7.4,19072,230,79,15,3,1,0,0,0,14715,6.8,17827,255,54,1
9,0,0,7,10,7,0,0,0,17563,7.0,17585,199,41,15,0,11,1,0,0,18923,7.2,19146,244,54,0
13,2,1,10,16,7,0,0,0,16759,6.4,15499,163,37,15,2,15,1,0,0,20995,7.4,19710,187,46,0
13,1,1,8,6,8,1,1,1,18239,7.0,17409,199,46,42,0,5,0,0,0,15981,7.0,18228,211,50,1
37,6,1,9,4,8,1,1,0,18591,7.4,20081,260,62,37,2,5,0,0,0,15486,6.8,17996,208,70,1
12,4,0,2,8,2,1,0,0,15421,7.2,19276,217,84,14,2,5,0,0,0,18192,7.4,20401,234,64,0
24,3,1,5,8,7,0,1,0,16137,6.6,17271,219,51,16,6,9,1,0,0,16217,7.0,17426,205,40,1
13,1,1,5,14,4,0,0,0,15787,6.6,15849,200,40,30,4,12,1,0,0,19570,7.2,19149,201,61,0
15,2,1,9,3,9,0,0,0,17438,7.0,18257,186,48,19,1,3,0,0,0,14420,6.6,16262,222,39,1
14,3,0,8,4,8,0,0,0,17938,7.2,18237,232,48,15,2,4,1,0,0,14866,6.8,16648,207,42,1
15,1,0,7,12,8,0,1,0,15523,6.6,16556,179,46,18,1,16,1,0,0,19348,7.2,17942,217,60,0
89,5,0,7,4,9,0,0,0,16860,7.0,17641,218,48,14,1,2,0,0,0,15567,6.8,17903,219,55,0
14,0,0,8,12,5,0,0,0,16024,7.0,17294,212,46,18,3,10,1,0,0,18394,7.4,19398,194,61,0
18,4,1,7,9,5,0,0,0,17221,6.8,18291,229,54,123,2,8,1,0,0,17027,6.8,17085,213,44,0
35,2,1,4,4,4,0,0,0,15686,7.0,18036,206,52,14,3,6,0,0,0,15560,6.8,17746,224,48,1
16,0,1,7,4,10,1,0,0,16599,6.6,16723,201,40,9,3,1,0,0,0,15563,6.8,17386,251,52,0
24,0,1,8,2,9,1,0,1,17422,6.8,17192,211,24,36,5,3,0,0,0,15028,7.0,18484,210,76,1
18,2,1,14,6,10,0,1,0,19203,7.4,20047,220,49,16,1,7,1,0,0,15655,6.6,16488,204,30,1
16,6,0,10,9,7,0,1,0,17346,7.0,18518,214,51,45,2,10,0,0,0,17197,6.8,16737,205,44,1
13,1,1,10,10,14,1,0,0,18931,7.2,18806,222,52,18,0,10,0,0,0,17127,7.0,17986,211,36,0
79,3,1,9,2,11,0,0,0,18124,7.4,19613,213,48,55,2,0,0,0,0,13892,6.6,16165,205,52,1
16,3,0,7,5,8,0,0,0,16905,6.8,17224,214,40,15,1,8,1,0,0,16074,6.8,17216,218,61,1
15,4,1,8,8,6,1,0,0,17928,6.8,17767,217,45,17,6,13,0,0,0,16678,6.8,17470,192,38,1
12,4,0,2,5,1,0,0,0,14349,7.0,17864,199,62,20,1,4,1,0,0,16638,7.2,18141,246,57,0
19,5,1,6,10,7,0,0,0,15787,6.8,16711,205,37,22,6,10,0,1,0,18244,7.0,18336,238,53,0
16,3,1,9,1,10,0,0,0,18179,7.2,19225,242,60,15,2,0,1,0,0,13310,6.4,15982,210,44,0
15,0,1,4,1,5,1,0,0,15942,7.2,19003,232,71,20,4,2,0,0,0,15456,7.0,18138,242,64,1
