,blueFirstBlood,blueKills,blueDeaths,blueGoldDiff,blueExperienceDiff,blueWardsPlacedDiff,blueWardsDestroyedDiff,blueAvgLevelDiff,blueAssistsDiff,blueTotalMinionsKilledDiff,blueTotalJungleMinionsKilledDiff,blueEliteMonstersDiff,blueDragonsDiff,blueHeraldsDiff,blueTowersDestroyedDiff,blueWins
127,0,5,3,976,1599,-21,2,0.40000000000000036,1,10,19,1,1,0,0,1
5163,1,5,4,780,523,-16,0,-0.20000000000000018,0,0,12,2,1,0,0,1
106,0,6,14,-4443,-4140,1,0,-1.0,-5,-27,-20,-1,-1,0,0,1
576,0,4,7,-1903,-584,-25,-1,0.0,-8,-10,-17,-1,-1,0,0,0
4391,0,5,10,-3731,-1458,10,1,-0.6000000000000005,-3,-25,-5,-1,-1,0,0,1
2155,1,6,10,-1260,-2264,-3,1,-0.39999999999999947,-5,-16,3,-1,-1,0,0,1
5607,1,11,7,1373,57,0,-3,0.40000000000000036,14,10,-3,1,1,0,0,0
9318,1,7,4,1403,389,-26,0,0.0,0,41,4,0,0,0,0,0
3102,0,4,1,1532,1453,-15,-1,0.0,9,0,-1,1,1,0,0,1
8593,0,3,16,-6887,-5573,-24,2,-1.2000000000000002,-14,-90,2,0,-1,0,0,0
9808,0,8,5,2360,2396,-32,-1,0.6000000000000005,5,30,4,1,1,0,0,1
664,1,7,0,3884,2315,13,-1,0.40000000000000036,15,2,0,2,1,0,0,1
744,1,3,4,-2141,-2439,-23,-2,-0.40000000000000036,2,-35,-14,0,1,1,0,0
9689,1,2,6,-1233,-1450,-21,-1,-0.20000000000000018,-5,37,-3,-1,-1,0,0,1
2552,1,4,3,1454,1411,3,0,0.20000000000000018,0,21,30,0,0,0,0,1
1403,0,1,11,-5698,-3675,-3,-3,-0.7999999999999998,-12,-39,7,-2,-1,1,0,0
9673,0,4,6,-798,-1418,8,-2,-0.20000000000000018,-8,-21,1,0,-1,0,0,0
2030,0,8,8,-1247,-835,-7,-1,0.0,-5,-15,1,-1,-1,0,0,1
3515,0,3,5,-3559,-2812,-74,-1,-0.7999999999999998,1,-58,-10,-2,-1,1,-1,0
1520,1,10,2,4373,4286,27,-2,1.0,11,19,12,1,1,0,0,1
3994,0,7,5,1276,1161,-3,2,0.40000000000000036,0,20,12,1,1,0,0,0
1529,0,7,8,-28,-63,-2,1,0.0,3,-8,10,0,0,0,0,0
642,0,7,5,760,521,2,-1,0.0,4,-26,4,0,0,0,0,0
1599,0,7,3,1738,2447,0,-1,0.40000000000000036,2,8,7,2,1,0,0,1
2799,1,8,3,3100,1006,-11,0,0.20000000000000018,6,20,1,1,1,0,0,0
9497,1,4,3,423,-315,0,2,0.20000000000000018,4,-48,8,1,1,0,0,0
6589,1,4,3,-348,-901,8,-3,-0.40000000000000036,0,-40,-4,-1,-1,0,0,0
3249,1,7,7,1202,-535,0,-3,-0.20000000000000018,1,18,-9,-1,0,1,0,1
8972,1,10,5,4424,4969,6,1,0.7999999999999998,1,41,23,0,-1,0,1,1
2268,0,4,2,457,690,1,-1,0.20000000000000018,2,-16,-1,-1,-1,0,0,1
185,0,1,5,-4179,-3823,-4,0,-0.7999999999999998,-2,-49,-19,-1,-1,0,0,0
9002,1,8,7,891,1054,-2,2,0.40000000000000036,0,-12,-7,1,1,0,0,1
1740,1,5,4,805,691,2,-1,0.20000000000000018,-3,24,4,2,1,0,0,1
7164,0,7,6,-376,1005,77,-1,0.40000000000000036,1,-31,0,-1,-1,0,0,0
2232,0,6,7,-850,-256,-5,-1,0.0,0,21,-8,0,1,1,0,1
5496,0,7,8,-144,-867,-31,2,-0.20000000000000018,-1,21,-16,-2,-1,1,0,0
9379,1,7,3,1782,1234,4,-2,0.0,10,15,-9,1,1,0,0,1
